date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2025-05-01,1,900948,MZ01,2588.0,28.804869,8.62518,176.99652,56.095066,572.153,458.4522,248.10587,297.89072,124.53345,final
2025-05-11,1,900948,MZ01,2588.0,9.867465,5.202009,99.57535,34.45264,535.51624,379.61475,145.73076,265.06552,140.53445,final
2025-05-21,1,900948,MZ01,2588.0,4.3551006,4.225747,43.027435,18.052937,519.5313,326.37006,101.40209,208.33542,158.2917,final
2025-06-01,1,900948,MZ01,2588.0,2.874034,2.926906,17.0966,12.354663,440.56375,247.48448,99.33301,127.3237,176.47174,final
2025-06-11,1,900948,MZ01,2588.0,1.9860896,2.1803324,9.215224,9.332986,317.505,191.68883,97.29479,99.17838,163.96712,final
2025-06-21,1,900948,MZ01,2588.0,1.5363215,2.1147861,6.3964453,7.222025,256.70132,124.30736,91.869545,93.24515,202.38702,final
2025-07-01,1,900948,MZ01,2588.0,1.9184699,1.8695132,5.440881,6.164632,199.534,74.614365,100.71267,93.51746,256.90588,final
2025-07-11,1,900948,MZ01,2588.0,1.1537867,1.7900051,4.608578,5.7743044,113.399155,49.55993,90.63007,89.1805,217.00754,final
2025-07-21,1,900948,MZ01,2588.0,1.4184699,2.2501287,4.4907265,5.909647,53.9146,31.184608,88.529045,86.99389,162.81674,final
2025-08-01,1,900948,MZ01,2588.0,1.2619784,1.5145544,3.834235,5.5546885,26.371717,24.073982,96.122894,83.69963,107.90306,final
2025-08-11,1,900948,MZ01,2588.0,1.5722566,1.6650438,4.2527046,5.429727,18.076506,20.537018,98.60785,88.71473,90.36492,final
2025-08-21,1,900948,MZ01,2588.0,1.6765842,1.7700284,4.5108194,4.9496264,15.397989,18.081299,98.61974,95.58971,88.374535,final
2025-09-01,1,900948,MZ01,2588.0,1.8976043,1.1457496,5.1464453,4.5808215,14.42156,16.300142,112.233734,105.90371,91.18043,final
2025-09-11,1,900948,MZ01,2588.0,2.0189335,1.0965225,5.5931225,4.0123005,14.454404,15.2163315,115.13011,117.54072,96.23112,final
2025-09-21,1,900948,MZ01,2588.0,2.9532456,1.6293019,6.8697834,3.871574,15.871328,14.730847,119.971085,133.79568,105.7802,final
2025-10-01,1,900948,MZ01,2588.0,3.0297527,2.0097115,8.001932,4.7355356,16.98261,14.871046,114.551834,133.55127,110.62634,final
2025-10-11,1,900948,MZ01,2588.0,2.1839259,2.0985188,8.166924,5.737532,18.01275,15.17956,101.20317,122.625244,114.03991,final
2025-10-21,1,900948,MZ01,2588.0,3.0142968,4.819655,8.227975,8.927885,19.60858,17.749086,81.61485,94.974754,108.17393,final
2025-11-01,1,900948,MZ01,2588.0,26.822256,6.6269193,32.020477,13.545093,45.168854,22.86145,273.69467,199.62411,180.06548,final
2025-11-11,1,900948,MZ01,2588.0,47.414604,11.014336,77.25116,22.460909,91.0112,32.210743,327.29803,299.5209,258.0201,final
2025-11-21,1,900948,MZ01,2588.0,39.86051,25.913202,114.097374,43.55446,129.19513,56.353916,145.11765,245.28618,218.723,final
2025-12-01,1,900948,MZ01,2588.0,22.779366,44.19978,110.05448,81.12732,150.07689,99.40794,56.462376,133.58652,148.52979,final
2025-12-11,1,900948,MZ01,2588.0,82.26816,64.14141,144.90804,134.2544,230.32611,162.45284,126.21691,107.65048,140.53276,final
2025-12-21,1,900948,MZ01,2588.0,115.218315,77.552895,220.26584,185.89409,342.5912,238.37642,145.62581,118.00567,142.8204,final
2026-01-01,1,900948,MZ01,2588.0,41.75425,86.49647,239.24072,226.2646,381.31567,321.11752,51.099514,105.61095,118.45903,final
2026-01-11,1,900948,MZ01,2588.0,15.875966,86.8465,172.84853,251.63005,395.00772,405.92667,22.729189,69.30151,97.34285,final
2026-01-21,1,900948,MZ01,2588.0,51.34467,84.74633,108.974884,258.0893,443.3381,485.83112,62.782143,43.32175,91.342636,final
2026-02-01,1,900948,MZ01,2588.0,89.00309,72.006004,156.22372,243.59883,505.51892,550.60895,122.07241,64.852974,91.884575,final
2026-02-11,1,900948,MZ01,2588.0,56.50966,84.03947,196.85742,240.7918,514.61395,623.63525,69.081345,82.125374,82.65746,final
2026-02-21,1,900948,MZ01,2588.0,43.227974,57.470467,188.74072,213.51593,517.98145,655.0765,77.20124,88.662056,79.23043,final
2026-03-01,1,900948,MZ01,2588.0,62.02666,81.81247,161.7643,223.32239,557.22876,693.1858,77.20856,73.038956,80.5271,final
2026-03-11,1,900948,MZ01,2588.0,152.44939,57.97599,257.70404,197.25893,627.41,689.6808,250.01495,129.88503,91.03605,final
2026-03-21,1,900948,MZ01,2588.0,97.43624,69.496254,311.9123,209.28471,609.62787,680.88995,137.50522,147.8931,89.610275,final
2026-04-01,1,900948,MZ01,2588.0,89.00773,51.562508,338.89334,179.03474,656.8814,645.956,166.20148,186.86327,101.67836,final
2026-04-11,1,900948,MZ01,2588.0,30.029753,26.844437,216.47372,147.9032,671.03516,585.9539,110.00275,144.84572,114.39728,final
2026-04-21,1,900948,MZ01,2588.0,21.310278,20.62545,140.34776,99.032394,641.0008,521.833,102.672455,139.71394,122.61965,final
2026-05-01,1,900948,MZ01,2588.0,9.416151,8.62518,60.75618,56.095066,561.4138,458.4522,105.80522,107.62927,122.216225,final
2026-05-11,1,900948,MZ01,2588.0,3.1070325,5.202009,33.83346,34.45264,508.0112,379.61475,79.465065,98.43058,133.38315,final
2026-05-21,1,900948,MZ01,2588.0,1.3840804,4.225747,13.907265,18.052937,466.1673,326.37006,69.19852,82.01673,142.18765,final
2026-06-01,1,900948,MZ01,2588.0,3.112442,2.926906,7.6035547,12.354663,407.25305,247.48448,102.340576,72.62344,163.27856,prelim
