name,iso,id,country,admin_level,category,range_type,range,population_type,population,population_share,population_interval,population_interval_share
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,2400,adults,106941,29.37,41931,11.51
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,2400,elderly,5441,29.37,2134,11.52
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,2400,school_age,63171,29.37,24769,11.51
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,2400,total,113255,29.37,44406,11.51
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,2400,under_5,18454,29.36,7236,11.51
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,2400,women_childbearing,26734,29.37,10482,11.51
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,3000,adults,139616,38.34,32675,8.97
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,3000,elderly,7103,38.34,1662,8.97
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,3000,school_age,82473,38.34,19302,8.97
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,3000,total,147859,38.34,34604,8.97
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,3000,under_5,24093,38.34,5639,8.97
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,3000,women_childbearing,34903,38.34,8169,8.97
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,3600,adults,184122,50.56,44506,12.22
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,3600,elderly,9368,50.56,2265,12.23
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,3600,school_age,108763,50.56,26290,12.22
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,3600,total,194993,50.56,47134,12.22
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,3600,under_5,31773,50.56,7680,12.22
