id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +icao","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
311991,INE,small_airport,"Chinde Airport",-18.59,36.4489,22,AF,Mozambique,MZ,"Zambezia Province",MZ-Q,Q,Chinde,0,,,INE,,,,,50,2022-01-20T01:56:25+00:00
318964,MZ-0033,small_airport,"Chiure Airport",-13.407165,39.803192,,AF,Mozambique,MZ,"Cabo Delgado Province",MZ-P,P,Chiure,0,,,,,,,,50,2016-06-20T10:16:33+00:00
29811,FQCB,small_airport,"Cuamba Airport",-14.815,36.529999,1919,AF,Mozambique,MZ,"Niassa Province",MZ-A,A,Cuamba,0,FQCB,FQCB,FXO,,,https://en.wikipedia.org/wiki/Cuamba_Airport,,50,2016-06-08T09:03:22+00:00
318963,MZ-0032,small_airport,"Gile Airport",-16.163767,38.360793,,AF,Mozambique,MZ,"Zambezia Province",MZ-Q,Q,Gile,0,,,,,,,,50,2016-06-20T10:11:58+00:00
326991,MZ-0045,small_airport,"Inhassoro Airstrip",-21.547634,35.119673,112,AF,Mozambique,MZ,"Inhambane Province",MZ-I,I,Inhassoro,0,,,,,,,,50,2018-04-08T11:02:55+00:00
318982,MZ-0034,small_airport,"Macomia Airport",-12.271035,40.110719,,AF,Mozambique,MZ,"Cabo Delgado Province",MZ-P,P,Macomia,0,,,,,,,,50,2016-06-22T02:47:41+00:00
27303,MZ-0004,closed,"Magaruque Airport",-21.9672451019,35.4247283936,20,AF,Mozambique,MZ,"Inhambane Province",MZ-I,I,"Magaruque Island",0,,,,,,,"MFW, MFW",50,2012-03-31T13:42:13+00:00
314540,RRM,small_airport,"Marromeu Airport",-18.319259,35.949501,39,AF,Mozambique,MZ,"Sofala Province",MZ-S,S,Marromeu,0,,,RRM,,,,,50,2022-01-20T01:57:17+00:00
318848,MZ-0008,small_airport,"Massinga Airport",-23.345136,35.339172,,AF,Mozambique,MZ,"Inhambane Province",MZ-I,I,Massinga,0,,,,,,,,50,2016-06-17T06:29:38+00:00
319011,MZ-0038,small_airport,"Mecanhelas Airport",-15.202762,35.870151,,AF,Mozambique,MZ,"Niassa Province",MZ-A,A,Mecanhelas,0,,,,,,,,50,2016-06-22T06:04:17+00:00
318983,MZ-0035,small_airport,"Meluco Airport",-12.525447,39.654529,,AF,Mozambique,MZ,"Cabo Delgado Province",MZ-P,P,Meluco,0,,,,,,,,50,2016-06-22T02:49:20+00:00
318962,MZ-0031,small_airport,"Milange Airport",-16.124602,35.734548,,AF,Mozambique,MZ,"Zambezia Province",MZ-Q,Q,Milange,0,,,,,,,,50,2016-06-20T10:08:00+00:00
31963,MTU,small_airport,"Montepuez Airport",-13.121899604797363,39.052799224853516,,AF,Mozambique,MZ,"Cabo Delgado Province",MZ-P,P,Montepuez,0,,,MTU,,,,,50,2009-07-08T21:41:08+00:00
2983,FQSG,small_airport,"Songo Airport",-15.6027,32.773201,2904,AF,Mozambique,MZ,"Tete Province",MZ-T,T,Songo,0,FQSG,FQSG,,,,https://en.wikipedia.org/wiki/Songo_Airport,,50,2025-06-07T12:52:09+00:00
2985,FQUG,small_airport,"Ulongwe Airport",-14.7046,34.352402,4265,AF,Mozambique,MZ,"Tete Province",MZ-T,T,Ulongwe,0,FQUG,FQUG,,,,https://en.wikipedia.org/wiki/Ulongwe_Airport,,50,2025-06-07T12:53:03+00:00
