name,iso,id,country,admin_level,category,range_type,range,population_type,population,population_share,population_interval,population_interval_share
Cabo Delgado,MZ-P,27363107B79734749620930,MOZ,ADM1,education,DISTANCE,15000,school_age,423518,36.29,55210,4.73
Cabo Delgado,MZ-P,27363107B79734749620930,MOZ,ADM1,education,DISTANCE,15000,total,809045,36.15,106231,4.75
Cabo Delgado,MZ-P,27363107B79734749620930,MOZ,ADM1,education,DISTANCE,20000,school_age,475052,40.7,51534,4.42
Cabo Delgado,MZ-P,27363107B79734749620930,MOZ,ADM1,education,DISTANCE,20000,total,909689,40.64,100644,4.5
Cabo Delgado,MZ-P,27363107B79734749620930,MOZ,ADM1,education,DISTANCE,25000,school_age,522286,44.75,47234,4.05
Cabo Delgado,MZ-P,27363107B79734749620930,MOZ,ADM1,education,DISTANCE,25000,total,1000898,44.72,91209,4.08
Cabo Delgado,MZ-P,27363107B79734749620930,MOZ,ADM1,education,DISTANCE,30000,school_age,581530,49.82,59244,5.08
Cabo Delgado,MZ-P,27363107B79734749620930,MOZ,ADM1,education,DISTANCE,30000,total,1114445,49.79,113547,5.07
Cabo Delgado,MZ-P,27363107B79734749620930,MOZ,ADM1,education,DISTANCE,35000,school_age,624695,53.52,43165,3.7
Cabo Delgado,MZ-P,27363107B79734749620930,MOZ,ADM1,education,DISTANCE,35000,total,1197152,53.49,82707,3.7
Cabo Delgado,MZ-P,27363107B79734749620930,MOZ,ADM1,education,DISTANCE,40000,school_age,672978,57.66,48283,4.14
Cabo Delgado,MZ-P,27363107B79734749620930,MOZ,ADM1,education,DISTANCE,40000,total,1291574,57.71,94422,4.22
Cabo Delgado,MZ-P,27363107B79734749620930,MOZ,ADM1,education,DISTANCE,45000,school_age,706459,60.53,33481,2.87
Cabo Delgado,MZ-P,27363107B79734749620930,MOZ,ADM1,education,DISTANCE,45000,total,1356631,60.61,65057,2.91
Cabo Delgado,MZ-P,27363107B79734749620930,MOZ,ADM1,education,DISTANCE,50000,school_age,734311,62.91,27852,2.39
Cabo Delgado,MZ-P,27363107B79734749620930,MOZ,ADM1,education,DISTANCE,50000,total,1410022,63.0,53391,2.39
Cahora Bassa,,85939544B63348478902842,MOZ,ADM2,education,DISTANCE,5000,school_age,15494,17.85,15494,17.85
Cahora Bassa,,85939544B63348478902842,MOZ,ADM2,education,DISTANCE,5000,total,27355,17.85,27355,17.85
Cahora Bassa,,85939544B63348478902842,MOZ,ADM2,education,DISTANCE,10000,school_age,16187,18.65,693,0.8
Cahora Bassa,,85939544B63348478902842,MOZ,ADM2,education,DISTANCE,10000,total,28578,18.65,1223,0.8
Cahora Bassa,,85939544B63348478902842,MOZ,ADM2,education,DISTANCE,15000,school_age,16461,18.96,274,0.32
Cahora Bassa,,85939544B63348478902842,MOZ,ADM2,education,DISTANCE,15000,total,29061,18.96,483,0.32
Cahora Bassa,,85939544B63348478902842,MOZ,ADM2,education,DISTANCE,20000,school_age,16593,19.11,132,0.15
Cahora Bassa,,85939544B63348478902842,MOZ,ADM2,education,DISTANCE,20000,total,29295,19.11,234,0.15
Cahora Bassa,,85939544B63348478902842,MOZ,ADM2,education,DISTANCE,25000,school_age,25592,29.48,8999,10.37
Cahora Bassa,,85939544B63348478902842,MOZ,ADM2,education,DISTANCE,25000,total,45181,29.48,15886,10.36
Cahora Bassa,,85939544B63348478902842,MOZ,ADM2,education,DISTANCE,30000,school_age,36770,42.35,11178,12.88
Cahora Bassa,,85939544B63348478902842,MOZ,ADM2,education,DISTANCE,30000,total,64916,42.35,19735,12.88
Cahora Bassa,,85939544B63348478902842,MOZ,ADM2,education,DISTANCE,35000,school_age,38430,44.27,1660,1.91
Cahora Bassa,,85939544B63348478902842,MOZ,ADM2,education,DISTANCE,35000,total,67846,44.27,2930,1.91
Cahora Bassa,,85939544B63348478902842,MOZ,ADM2,education,DISTANCE,40000,school_age,38572,44.43,142,0.16
Cahora Bassa,,85939544B63348478902842,MOZ,ADM2,education,DISTANCE,40000,total,68097,44.43,251,0.16
Cahora Bassa,,85939544B63348478902842,MOZ,ADM2,education,DISTANCE,45000,school_age,41026,47.26,2454,2.83
Cahora Bassa,,85939544B63348478902842,MOZ,ADM2,education,DISTANCE,45000,total,72429,47.26,4332,2.83
Cahora Bassa,,85939544B63348478902842,MOZ,ADM2,education,DISTANCE,50000,school_age,41200,47.46,174,0.2
Cahora Bassa,,85939544B63348478902842,MOZ,ADM2,education,DISTANCE,50000,total,72736,47.46,307,0.2
Changara,,85939544B96154885816761,MOZ,ADM2,education,DISTANCE,5000,school_age,0,0.0,0,0.0
Changara,,85939544B96154885816761,MOZ,ADM2,education,DISTANCE,5000,total,0,0.0,0,0.0
Changara,,85939544B96154885816761,MOZ,ADM2,education,DISTANCE,10000,school_age,951,1.16,951,1.16
Changara,,85939544B96154885816761,MOZ,ADM2,education,DISTANCE,10000,total,1591,1.16,1591,1.16
Changara,,85939544B96154885816761,MOZ,ADM2,education,DISTANCE,15000,school_age,3099,3.78,2148,2.62
Changara,,85939544B96154885816761,MOZ,ADM2,education,DISTANCE,15000,total,5186,3.78,3595,2.62
Changara,,85939544B96154885816761,MOZ,ADM2,education,DISTANCE,20000,school_age,13813,16.83,10714,13.05
Changara,,85939544B96154885816761,MOZ,ADM2,education,DISTANCE,20000,total,23114,16.83,17928,13.05
Changara,,85939544B96154885816761,MOZ,ADM2,education,DISTANCE,25000,school_age,16637,20.27,2824,3.44
Changara,,85939544B96154885816761,MOZ,ADM2,education,DISTANCE,25000,total,27838,20.27,4724,3.44
Changara,,85939544B96154885816761,MOZ,ADM2,education,DISTANCE,30000,school_age,18479,22.51,1842,2.24
Changara,,85939544B96154885816761,MOZ,ADM2,education,DISTANCE,30000,total,30922,22.51,3084,2.25
Changara,,85939544B96154885816761,MOZ,ADM2,education,DISTANCE,35000,school_age,23278,28.36,4799,5.85
Changara,,85939544B96154885816761,MOZ,ADM2,education,DISTANCE,35000,total,38952,28.36,8030,5.85
Changara,,85939544B96154885816761,MOZ,ADM2,education,DISTANCE,40000,school_age,28684,34.95,5406,6.59
Changara,,85939544B96154885816761,MOZ,ADM2,education,DISTANCE,40000,total,47997,34.95,9045,6.59
Changara,,85939544B96154885816761,MOZ,ADM2,education,DISTANCE,45000,school_age,31199,38.01,2515,3.06
